Year,Excess YPLL Rate,Excess YPLL Number,shortname
2001,0.16846693175101723,200.41440936934973,Perinatal
2002,1.1035964107017726,1276.5029080747502,Perinatal
2003,-1.9741907647630577,-1850.9757150133469,Perinatal
2004,-1.2041734163090263,-1503.607826117816,Perinatal
2005,0.1561555419678049,194.55115251239684,Perinatal
2006,1.1285485654745546,1167.2504118481995,Perinatal
2007,-3.5295075776113185,-4495.750231008195,Perinatal
2008,-1.0668695245563935,-1472.476663959456,Perinatal
2009,-2.8150590280150105,-2973.71507921977,Perinatal
2010,1.010209801109157,1187.2379968541163,Perinatal
2011,1.0751257368170766,1040.523513809348,Perinatal
2012,-1.489896257161051,-2046.831471752722,Perinatal
2013,1.717644926558446,1847.9363671690592,Perinatal
2014,-0.02215736082941344,-27.43505761400154,Perinatal
2015,1.933101016946116,2139.2279070102536,Perinatal
2016,0.3370999837095825,378.75494327259906,Perinatal
2017,0.11496227971536356,145.6733766943848,Perinatal
2018,1.4233278025302911,1990.1287306409615,Perinatal
2019,0.710395493922011,797.3027851602461,Perinatal
2020,0.8407354108199514,1118.0041986781614,Perinatal
2021,-0.615192483360123,-898.7833606662375,Perinatal
2022,-0.2671779683097961,-381.92388693362614,Perinatal
2000,3.1410309548614777,4236.545533838149,Congentinal
2001,1.670344110555945,2281.367261020056,Congentinal
2002,2.483937957611161,3425.8639977185276,Congentinal
2003,0.06575340034112287,91.4350077204628,Congentinal
2004,5.639931528045906,7918.276112055884,Congentinal
2005,2.158088415067958,3058.130475374461,Congentinal
2006,4.549175596075806,6508.189630552264,Congentinal
2007,3.087655614658658,4457.055642757803,Congentinal
2008,4.3008405097465285,6267.068281033233,Congentinal
2009,4.896042862429738,7198.538673079893,Congentinal
2010,0.03235214498884176,47.87385361659628,Congentinal
2011,5.980109972259889,8931.47867016169,Congentinal
2012,7.775894512278626,11703.59960602344,Congentinal
2013,1.68112192950516,2548.464730038152,Congentinal
2014,4.557445567869678,6964.2216799667485,Congentinal
2015,6.300844564608084,9704.55229226921,Congentinal
2016,-0.339680402990048,-525.9054351973081,Congentinal
2017,5.8656612190821065,9157.077295929306,Congentinal
2018,3.81061362216812,5976.356097242672,Congentinal
2019,2.935051304739794,4618.17757846171,Congentinal
